name,time,temperature,profile,power,fan,mode
frame_0,0,197,000,50,0,PREHEAT
frame_5,0,197,000,50,0,PREHEAT
frame_10,0,196,000,50,0,PREHEAT
frame_15,0,195,000,50,0,PREHEAT
frame_20,0,190,000,50,0,PREHEAT
frame_25,0,175,000,50,0,PREHEAT
frame_30,2,153,000,50,0,ROAST
frame_35,7,136,000,50,0,ROAST
frame_40,12,123,000,50,0,ROAST
frame_45,17,110,000,50,0,ROAST
frame_50,22,102,000,50,0,ROAST
frame_55,0,0,000,0,0,ROAST
frame_60,0,0,,0,0,
frame_65,0,0,,8,0,
frame_70,42,86,000,75,50,ROAST
frame_75,46,84,000,75,50,ROAST
frame_80,51,83,000,75,50,ROAST
frame_85,56,83,000,75,50,ROAST
frame_90,61,82,000,75,50,ROAST
frame_95,66,82,000,75,50,ROAST
frame_100,71,82,000,75,50,ROAST
frame_105,76,83,000,75,50,ROAST
frame_110,81,83,000,75,50,ROAST
frame_115,86,84,000,75,50,ROAST
frame_120,91,85,000,75,50,ROAST
frame_125,0,0,000,0,50,
frame_130,101,86,000,80,50,ROAST
frame_135,106,87,000,80,45,ROAST
frame_140,111,88,000,80,45,ROAST
frame_145,116,89,000,80,45,ROAST
frame_150,121,90,008,80,45,ROAST
frame_155,126,91,008,80,45,ROAST
frame_160,131,92,  08,80,45,ROAST
frame_165,136,94,008,80,45,ROAST
frame_170,0,95,008,80,45,ROAST
frame_175,146,96,-008,80,45,ROAST
frame_180,151,97,008,80,45,ROAST
frame_185,0,98,008,80,45,ROAST
frame_190,0,100,008,80,45,ROAST
frame_195,166,101,008,75,45,ROAST
frame_200,171,103,0-8,75,45,ROAST
frame_205,176,104,008,75,45,ROAST
frame_210,181,105,015,75,45,ROAST
frame_215,186,106,015,75,45,ROAST
frame_220,191,107,015,75,45,ROAST
frame_225,196,108,015,75,45,ROAST
frame_230,201,109,015,75,45,ROAST
frame_235,206,110,015,75,45,ROAST
frame_240,210,111,015,75,45,ROAST
frame_245,215,113,015,75,45,ROAST
frame_250,220,114,  15,75,45,ROAST
frame_255,225,115,015,7,45,ROAST
frame_260,230,116,015,75,45,ROAST
frame_265,235,117,015,75,45,ROAST
frame_270,240,118,013,75,45,ROAST
frame_275,0,119,013,75,45,ROAST
frame_280,0,0,,0,0,
frame_285,255,121,013,75,35,ROAST
frame_290,260,122,013,75,35,ROAST
frame_295,265,123,013,75,35,ROAST
frame_300,270,124,013,75,35,ROAST
frame_305,275,125,013,75,35,ROAST
frame_310,280,126,013,75,35,ROAST
frame_315,285,127,013,75,35,ROAST
frame_320,290,128,013,75,35,ROAST
frame_325,295,129,013,75,35,ROAST
frame_330,300,130,012,75,35,ROAST
frame_335,305,132,012,75,35,ROAST
frame_340,310,132,012,75,35,ROAST
frame_345,315,133,012,75,35,ROAST
frame_350,320,134,012,75,35,ROAST
frame_355,0,136,012,75,35,ROAST
frame_360,330,137,012,75,30,ROAST
frame_365,335,138,012,75,30,ROAST
frame_370,0,138,012,7,30,ROAST
frame_375,345,140,012,75,30,ROAST
frame_380,350,141,012,75,30,ROAST
frame_385,355,142,012,75,30,ROAST
frame_390,360,143,013,75,30,ROAST
frame_395,365,144,013,75,30,ROAST
frame_400,370,145,013,75,30,ROAST
frame_405,375,146,013,75,30,ROAST
frame_410,379,147,013,75,3,ROAST
frame_415,384,148,013,75,30,ROAST
frame_420,389,149,013,75,30,ROAST
frame_425,394,150,013,75,0,ROAST
frame_430,399,151,013,75,30,ROAST
frame_435,404,152,013,70,40,ROAST
frame_440,409,153,013,70,40,ROAST
frame_445,414,154,013,70,40,ROAST
frame_450,419,155,013,70,40,ROAST
frame_455,424,156,012,70,40,ROAST
frame_460,429,157,012,70,40,ROAST
frame_465,434,158,012,70,40,ROAST
frame_470,439,159,012,70,40,ROAST
frame_475,444,160,012,70,40,ROAST
frame_480,449,161,012,70,40,ROAST
frame_485,454,162,012,70,50,ROAST
frame_490,459,163,012,70,50,ROAST
frame_495,464,164,012,70,50,ROAST
frame_500,469,165,012,70,50,ROAST
frame_505,474,166,012,70,50,ROAST
frame_510,479,167,012,70,50,ROAST
frame_515,484,168,012,70,50,ROAST
frame_520,489,168,012,70,50,ROAST
frame_525,494,169,012,70,50,ROAST
frame_530,499,170,012,70,60,ROAST
frame_535,504,171,012,70,60,ROAST
frame_540,509,172,012,70,60,ROAST
frame_545,514,173,012,70,60,ROAST
frame_550,519,174,012,70,60,ROAST
frame_555,524,175,012,70,60,ROAST
frame_560,529,176,012,70,60,ROAST
frame_565,534,177,012,70,60,ROAST
frame_570,539,178,012,70,60,ROAST
frame_575,543,179,011,60,60,ROAST
frame_580,548,180,011,60,60,ROAST
frame_585,553,181,011,60,60,ROAST
frame_590,558,182,011,60,60,ROAST
frame_595,563,183,011,60,60,ROAST
frame_600,568,183,011,60,60,ROAST
frame_605,573,184,011,60,60,ROAST
frame_610,578,185,011,50,60,ROAST
frame_615,0,0,,0,0,
frame_620,588,187,011,50,70,ROAST
frame_625,593,188,011,50,70,ROAST
frame_630,598,189,011,50,70,ROAST
frame_635,603,190,011,50,70,ROAST
frame_640,608,191,011,50,70,ROAST
frame_645,613,192,011,50,70,ROAST
frame_650,618,193,011,40,70,ROAST
frame_655,623,194,011,40,70,ROAST
frame_660,628,195,011,40,70,ROAST
frame_665,633,196,011,40,70,ROAST
frame_670,638,196,011,40,70,ROAST
frame_675,643,197,011,40,70,ROAST
frame_680,648,198,011,40,70,ROAST
frame_685,653,199,011,40,70,ROAST
frame_690,658,199,011,40,70,ROAST
frame_695,663,200,011,40,70,ROAST
frame_700,668,201,011,40,70,ROAST
frame_705,673,201,011,40,80,ROAST
frame_710,678,202,011,40,80,ROAST
frame_715,683,202,011,40,80,ROAST
frame_720,688,203,011,40,80,ROAST
frame_725,693,203,011,40,80,ROAST
frame_730,698,204,011,40,80,ROAST
frame_735,703,204,011,40,80,ROAST
frame_740,707,205,011,40,80,ROAST
frame_745,712,206,011,40,80,ROAST
frame_750,717,206,011,40,80,ROAST
frame_755,0,207,006,40,80,
frame_760,0,0,,33,0,
frame_765,0,208,C0 ,0,100,COOL
frame_770,0,208,C0 ,0,100,COOL
frame_775,0,204,C0 ,0,100,COOL
frame_780,0,198,C0 ,0,100,COOL
frame_785,0,190,C0 ,0,100,COOL
frame_790,0,182,C0 ,0,100,COOL
frame_795,0,174,C0 ,0,100,COOL
frame_800,0,166,C0 ,0,100,COOL
frame_805,0,160,C0 ,0,100,COOL
frame_810,0,154,C0 ,0,100,COOL
frame_815,0,150,C0 ,0,100,COOL
